car_id,lap_number,lap_time_s,cumulative_time_s,median_pace,pit_like,position,gap_to_leader_s,gap_to_front_s,lap_progress,relative_gap,target_next_lap
GR86-062-012,0,0.535,0.535,176.965,False,1,0.0,0.0,0.0,0.0,854.368
GR86-002-2,0,23.219,23.219,171.21699999999998,False,2,22.684,22.684,0.0,22.684,900.241
GR86-004-78,1,229.763,229.763,171.24599999999998,False,1,0.0,0.0,3.0517578125e-05,0.0,208.027
GR86-049-88,1,231.577,231.577,169.915,True,2,1.813999999999993,1.813999999999993,3.0517578125e-05,1.813999999999993,204.594
GR86-037-03,1,843.722,843.722,171.78,True,3,613.959,612.145,3.0517578125e-05,612.145,235.323
GR86-030-18,1,846.388,846.388,191.662,True,4,616.625,2.6660000000000537,3.0517578125e-05,2.6660000000000537,234.195
GR86-057-57,1,850.805,850.805,190.361,True,5,621.0419999999999,4.416999999999916,3.0517578125e-05,4.416999999999916,234.066
GR86-012-8,1,851.508,851.508,189.3035,True,6,621.745,0.7030000000000882,3.0517578125e-05,0.7030000000000882,233.497
GR86-062-012,1,854.368,854.903,176.965,True,7,625.14,3.394999999999982,3.0517578125e-05,3.394999999999982,233.618
GR86-021-86,1,857.501,857.501,189.6315,True,8,627.7379999999999,2.5979999999999563,3.0517578125e-05,2.5979999999999563,232.391
GR86-065-5,1,861.583,861.583,172.142,True,9,631.8199999999999,4.081999999999994,3.0517578125e-05,4.081999999999994,-0.002
GR86-032-15,1,862.284,862.284,174.829,True,10,632.521,0.7010000000000218,3.0517578125e-05,0.7010000000000218,232.17
GR86-013-80,1,863.889,863.889,217.698,True,11,634.126,1.6050000000000182,3.0517578125e-05,1.6050000000000182,232.18
GR86-040-3,1,869.3,869.3,173.3,True,12,639.5369999999999,5.4109999999999445,3.0517578125e-05,5.4109999999999445,231.901
GR86-035-11,1,872.243,872.243,173.843,True,13,642.48,2.9430000000000973,3.0517578125e-05,2.9430000000000973,231.873
GR86-024-41,1,876.937,876.937,172.317,True,14,647.174,4.69399999999996,3.0517578125e-05,4.69399999999996,229.667
GR86-015-31,1,883.843,883.843,170.779,True,15,654.0799999999999,6.905999999999949,3.0517578125e-05,6.905999999999949,229.248
GR86-063-113,1,885.451,885.451,172.488,True,16,655.688,1.608000000000061,3.0517578125e-05,1.608000000000061,229.164
GR86-047-21,1,888.402,888.402,171.392,True,17,658.639,2.951000000000022,3.0517578125e-05,2.951000000000022,229.292
GR86-022-13,1,891.322,891.322,171.387,True,18,661.559,2.919999999999959,3.0517578125e-05,2.919999999999959,229.269
GR86-028-89,1,893.505,893.505,171.908,True,19,663.742,2.1829999999999927,3.0517578125e-05,2.1829999999999927,229.403
GR86-051-71,1,893.876,893.876,170.939,True,20,664.1129999999999,0.3709999999999809,3.0517578125e-05,0.3709999999999809,228.975
GR86-016-55,1,894.545,894.545,170.828,True,21,664.7819999999999,0.6689999999999827,3.0517578125e-05,0.6689999999999827,229.209
GR86-006-7,1,899.325,899.325,170.66,True,22,669.562,4.780000000000086,3.0517578125e-05,4.780000000000086,228.721
GR86-026-72,1,901.928,901.928,173.28,True,23,672.165,2.602999999999952,3.0517578125e-05,2.602999999999952,229.174
GR86-010-16,1,903.555,903.555,170.076,True,24,673.7919999999999,1.6269999999999527,3.0517578125e-05,1.6269999999999527,229.021
GR86-025-47,1,904.178,904.178,170.939,True,25,674.415,0.6230000000000473,3.0517578125e-05,0.6230000000000473,229.386
GR86-036-98,1,906.161,906.161,171.932,True,26,676.3979999999999,1.9829999999999472,3.0517578125e-05,1.9829999999999472,229.096
GR86-002-2,1,900.241,923.46,171.21699999999998,True,27,693.697,17.299000000000092,3.0517578125e-05,17.299000000000092,228.72
GR86-049-88,2,204.594,436.171,169.915,False,1,0.0,0.0,6.103515625e-05,0.0,-0.002
